SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
SP;3530607;MOGI DAS CRUZES;01711;F10406;EE PROFESSORA DORA PERETTI DE OLIVEIRA
SP;3530706;MOGI GUACU;01565;F13621;EE PADRE ARMANI
SP;3530706;MOGI GUACU;01566;F12904;EE LUIZ MARTINI
SP;3530805;MOGI MIRIM;01567;F09152;EE MONSENHOR NORA
SP;3530805;MOGI MIRIM;01568;F09157;EE PROFESSOR VALÉRIO STRANG
SP;3534401;OSASCO;01650;F15518;EMEF LAERTE JOSE DOS SANTOS
SP;3534401;OSASCO;01651;F15517;EMEF MARECHAL BITTENCOURT
SP;3534401;OSASCO;01652;F12090;EE PROFESSORA FANNY MONZONI SANTOS
SP;3534401;OSASCO;01653;F11909;EE IRMA GABRIELA ELISABETH WIENKEM
SP;3534401;OSASCO;01654;F14211;EE PEI PROFESSORA FRANCISCA LISBOA PERALTA
SP;3534708;OURINHOS;01517;F08790;SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SÁ LTDA
SP;3536505;PAULINIA;01543;F12457;EE GENERAL PORPHYRIO DA PAZ
SP;3536505;PAULINIA;01544;F12271;EE PARQUE DOS SERVIDORES
SP;3538006;PINDAMONHANGABA;01608;F11986;EE RYOITI YASSUDA
SP;3538006;PINDAMONHANGABA;01609;F11984;EE DR. JOAO PEDRO CARDOSO
SP;3538709;PIRACICABA;01561;F08573;EE PROFESSORA OLIVIA BIANCO
SP;3538709;PIRACICABA;01562;F08629;EE PROF EDUIR BENEDICTO SCARPARI
SP;3539301;PIRASSUNUNGA;01563;F10469;EE CORONEL FRANCO
SP;3539301;PIRASSUNUNGA;01564;F10479;EE PROF PAULO DE BARROS FERRAZ
SP;3539806;POA;01712;F13611;EMEB ESTÂNCIA HIDROMINERAL DE POÁ
SP;3541000;PRAIA GRANDE;01693;F10139;ETEC DE PRAIA GRANDE - UNIDADE 1
SP;3541000;PRAIA GRANDE;01694;F12186;EE REVERENDO AUGUSTO PAES DAVILA
SP;3541000;PRAIA GRANDE;01695;F14713;ETEC DE PRAIA GRANDE - UNIDADE 2 - CLASSE DESCENTRALIZADA
SP;3541000;PRAIA GRANDE;01696;F12282;EE PROFESSORA SYLVIA DE MELLO
SP;3541406;PRESIDENTE PRUDENTE;01519;F13284;EE MONSENHOR SARRION
SP;3541406;PRESIDENTE PRUDENTE;01520;F13432;EE PROFESSOR HUGO MIELE
SP;3542602;REGISTRO;01657;F09880;EE DR FABIO BARRETO
SP;3542602;REGISTRO;01658;F09887;EE PROFa MASSAKO OSAWA HIRABAYASHI
SP;3543303;RIBEIRAO PIRES;01673;F10138;EE PROFESSORA LEICO AKAISHI
SP;3543303;RIBEIRAO PIRES;01674;F10145;EE PROFESSORA RUTH NEVES SANT ANNA
SP;3543402;RIBEIRAO PRETO;01583;F15013;EE FABIO BARRETO
SP;3543402;RIBEIRAO PRETO;01584;F12406;EE OTONIEL MOTA
SP;3543402;RIBEIRAO PRETO;01585;F12268;EE PROFESSOR SEBASTIAO FERNANDES PALMA
SP;3543402;RIBEIRAO PRETO;01586;F15187;FACULDADE DE TECNOLOGIA DE RIBEIRAO PRETO - FATEC
SP;3543402;RIBEIRAO PRETO;01587;F12359;EE DR MEIRA JUNIOR
SP;3543402;RIBEIRAO PRETO;01588;F12233;EE ALBERTO SANTOS DUMONT
SP;3543402;RIBEIRAO PRETO;01589;F12410;EE PROFESSOR DR OSCAR DE MOURA LACERDA
SP;3543907;RIO CLARO;01569;F10173;EE JOAQUIM RIBEIRO
SP;3543907;RIO CLARO;01570;F08676;EE PROF.  MARCIANO DE TOLEDO PIZA
SP;3545209;SALTO;01545;F09575;EE PROFESSOR PAULA SANTOS
SP;3545803;SANTA BARBARA D OESTE;01524;F10200;EE PROFESSOR ULISSES DE OLIVEIRA VALENTE
SP;3547304;SANTANA DE PARNAIBA;01655;F13209;COLÉGIO MUNICIPAL TENENTE GENERAL GASPAR DE GODOI COLAÇO
SP;3547304;SANTANA DE PARNAIBA;01656;F13606;COLÉGIO MUNICIPAL PROFESSORA ALBA DE MELLO BONILHA
SP;3547809;SANTO ANDRE;01675;F13813;EE DR. AMÉRICO BRASILIENSE
SP;3547809;SANTO ANDRE;01676;F13781;EE PROFESSOR JOSÉ CALVITTI FILHO
SP;3547809;SANTO ANDRE;01677;F13857;EE PARQUE MARAJOARA II
SP;3547809;SANTO ANDRE;01678;F13810;EE PROFESSOR OSCAVO DE PAULA E SILVA
SP;3548500;SANTOS;01697;F08616;EE PROFESSOR SUETONIO BITTENCOURT JUNIOR
SP;3548500;SANTOS;01698;F08609;EE AZEVEDO JUNIOR
SP;3548500;SANTOS;01699;F08617;EE PROFESSOR PRIMO FERREIRA
SP;3548708;SAO BERNARDO DO CAMPO;01679;F13753;EE AMADEU OLIVÉRIO
SP;3548708;SAO BERNARDO DO CAMPO;01680;F14104;EE CLOVIS DE LUCCA
SP;3548708;SAO BERNARDO DO CAMPO;01681;F13755;EE SENADOR ROBERT KENNEDY
SP;3548708;SAO BERNARDO DO CAMPO;01682;F10268;EE PROFESSOR EUCLYDES DESLANDES
SP;3548708;SAO BERNARDO DO CAMPO;01683;F15512;EE DR.MATHIAS OCTAVIO ROXO NOBRE
SP;3548807;SAO CAETANO DO SUL;01684;F11470;EMEF LUIZ OLINTO TORTORELLO
SP;3548807;SAO CAETANO DO SUL;01685;F11501;EMEF LEANDRO KLEIN
SP;3548906;SAO CARLOS;01573;F12921;EE ATTILIA PRADO MARGARIDO
SP;3548906;SAO CARLOS;01574;F09095;EE CONDE DO PINHAL
SP;3548906;SAO CARLOS;01575;F09093;EE JESUINO DE ARRUDA
SP;3549102;SAO JOAO DA BOA VISTA;01571;F08904;ESCOLA ESTADUAL CORONEL JOAQUIM JOSÉ
SP;3549102;SAO JOAO DA BOA VISTA;01572;F08879;EE CORONEL CRISTIANO OSORIO DE OLIVEIRA
SP;3549805;SAO JOSE DO RIO PRETO;01615;F10229;CENTRO UNIVERSITARIO DE RIO PRETO - UNIRP
SP;3549805;SAO JOSE DO RIO PRETO;01616;F13353;CENTRO UNIVERSITARIO DE RIO PRETO - UNIRP- UNIDADEIII
SP;3549805;SAO JOSE DO RIO PRETO;01617;F11295;EE PROFa ZULMIRA DA SILVA SALLES
SP;3549904;SAO JOSE DOS CAMPOS;01600;F13973;EE EDERA IRENE PEREIRA DE OLIVEIRA CARDOSO
SP;3549904;SAO JOSE DOS CAMPOS;01601;F13716;EE PROFESSOR JOSÉ VIEIRA MACEDO
SP;3549904;SAO JOSE DOS CAMPOS;01602;F13902;EE DEPUTADO BENEDITO  MATARAZZO
SP;3549904;SAO JOSE DOS CAMPOS;01603;F14063;EE MAJOR  MIGUEL NAKED
SP;3550308;SAO PAULO;01723;F15226;INSTITUTO FEDERAL DE EDUCAÇAO, CIENCIA E TECNOLOGIA DE SAO PAULO - IFSP
SP;3550308;SAO PAULO;01724;F14562;ETEC CARLOS DE CAMPOS
SP;3550308;SAO PAULO;01725;F15361;EE ORESTES GUIMARAES
SP;3550308;SAO PAULO;01726;F15258;EE AMADEU AMARAL
SP;3550308;SAO PAULO;01727;F15107;ETEC MARTIN LUTHER KING
SP;3550308;SAO PAULO;01728;F14915;EE PROFESSOR WOLNY CARVALHO RAMOS
SP;3550308;SAO PAULO;01729;F13181;EE PROF. JOSÉ MARQUES DA CRUZ
SP;3550308;SAO PAULO;01730;F14963;EE DONA AMELIA DE ARAUJO
SP;3550308;SAO PAULO;01731;F15026;EE CARAMURU
SP;3550308;SAO PAULO;01732;F14931;EE PROFESSOR MOACYR CAMPOS
SP;3550308;SAO PAULO;01733;F13515;EE BARAO DE RAMALHO
SP;3550308;SAO PAULO;01734;F13832;FATEC - FACULDADE DE TECNOLOGIA - ZONA LESTE
SP;3550308;SAO PAULO;01735;F10551;EE CONDESSA FILOMENA MATARAZZO
SP;3550308;SAO PAULO;01736;F15254;ETEC SAPOPEMBA
SP;3550308;SAO PAULO;01737;F10599;EE PROFESSOR AROLDO DE AZEVEDO
SP;3550308;SAO PAULO;01738;F15259;EE ROMEU DE MORAES
SP;3550308;SAO PAULO;01739;F09945;EE PROFESSOR MANUEL CIRIDIAO BUARQUE
SP;3550308;SAO PAULO;01740;F10807;E.E.  MINISTRO OSCAR DIAS CORREIA
SP;3550308;SAO PAULO;01741;F13204;EE FLORESTAN FERNANDES
SP;3550308;SAO PAULO;01742;F13385;EE JARDIM CANAA
SP;3550308;SAO PAULO;01743;F15217;EE ANTONIO ALVES CRUZ
SP;3550308;SAO PAULO;01744;F10709;EE ALBERTO TORRES
SP;3550308;SAO PAULO;01745;F10486;EE JOAO XXIII
SP;3550308;SAO PAULO;01746;F10361;CEU EMEF PROFESSORA MARA CRISTINA TARTAGLIA SENA
SP;3550308;SAO PAULO;01747;F13277;EE PROFESSOR LYGIA DE AZEVEDO SOUZA E SÁ
SP;3550308;SAO PAULO;01748;F13298;EE PROFESSORA MARIA PETROLINA LIMEIRA DOS MILAGRES MONTEIRO
SP;3550308;SAO PAULO;01749;F10179;EE PROFESSOR JOSE GERALDO DE LIMA
SP;3550308;SAO PAULO;01750;F10149;EE PROFESSORA BEATRIZ LOPES
SP;3550308;SAO PAULO;01751;F10244;EE PROFESSOR ALBERTO SALOTTI
SP;3550308;SAO PAULO;01752;F13118;EE AFRÂNIO DE OLIVEIRA
SP;3550308;SAO PAULO;01753;F10390;EE PROFESSOR CARLOS AYRES
SP;3550308;SAO PAULO;01754;F10450;EE PROF EURIPEDES SIMOES DE PAULA
SP;3550308;SAO PAULO;01755;F10382;EE PAULINO NUNES ESPOSO
SP;3550308;SAO PAULO;01756;F10071;EE VICENTE LEPORACE
SP;3550308;SAO PAULO;01757;F14111;EE EUGENIO MARIZ DE OLIVEIRA NETTO
SP;3550308;SAO PAULO;01758;F09910;EE PROFESSOR LUIS MAGALHAES DE ARAUJO
SP;3550308;SAO PAULO;01759;F10344;EE DOM AGNELO CARDEAL ROSSI
SP;3550308;SAO PAULO;01760;F15450;ETEC ABDIAS DO NASCIMENTO
SP;3550308;SAO PAULO;01761;F09859;EE PROFESSOR LUIZ GONZAGA PINTO E SILVA
SP;3550308;SAO PAULO;01762;F13241;EE MARTINHO DA SILVA
SP;3550308;SAO PAULO;01763;F10267;EE RONALDO GARIBALDI PERETTI
SP;3550308;SAO PAULO;01764;F10303;EE BUENOS AIRES
SP;3550308;SAO PAULO;01765;F13295;EE PROFESSOR ANTONIO LISBOA
SP;3550308;SAO PAULO;01766;F15216;EE AFRANIO PEIXOTO
SP;3550308;SAO PAULO;01767;F15489;EE EURIPEDES DE CASTRO
SP;3550308;SAO PAULO;01768;F13061;EE SILVA JARDIM
SP;3550308;SAO PAULO;01769;F13114;EE ALBINO CESAR
SP;3550308;SAO PAULO;01770;F13741;EE DR PEDRO DE MORAES VICTOR
SP;3550308;SAO PAULO;01771;F13285;EE CASTRO ALVES
SP;3550308;SAO PAULO;01772;F13258;EE ARY BARROSO
SP;3550308;SAO PAULO;01773;F10788;EE PROFESSOR JAIR TOLEDO XAVIER
SP;3550308;SAO PAULO;01774;F15105;EMEFM GUIOMAR CABRAL
SP;3550308;SAO PAULO;01775;F14173;EE PROFESSOR CÂNDIDO GONÇALVES GOMIDE
SP;3550308;SAO PAULO;01776;F14733;EE PROFESSOR CARLOS BORBA
SP;3550308;SAO PAULO;01777;F15501;EE DOM PEDRO I
SP;3550308;SAO PAULO;01778;F11370;EE DR. DIOGO DE FARIA
SP;3550308;SAO PAULO;01779;F10030;EE WILSON RACHID
SP;3550308;SAO PAULO;01780;F10002;EE DR UMBERTO LUIZ D URSO
SP;3550308;SAO PAULO;01781;F10027;EE PROFESSOR WILSON ROBERTO SIMONINI
SP;3550308;SAO PAULO;01782;F14975;EMEF ANTONIA E ARTUR BEGBIL
SP;3550308;SAO PAULO;01783;F13250;EE PEI FADLO HAIDAR
SP;3550308;SAO PAULO;01784;F12994;EE PROFESSOR ADHEMAR ANTÔNIO PRADO
SP;3550308;SAO PAULO;01785;F13223;EE MARIUMA BUAZAR MAUAD
SP;3550308;SAO PAULO;01786;F14537;EE PROFESSORA CLAUDIA DUTRA VIANA
SP;3550308;SAO PAULO;01787;F15526;UNIDADE HOSPITALAR GRUPO DE APOIO AO ADOLESCENTE E A CRIANÇA COM CANCER - GRAACC
SP;3550605;SAO ROQUE;01627;F12367;EE HORACIO MANLEY LANE
SP;3550605;SAO ROQUE;01628;F12151;EMEF PROFESSORA MARIA JOSE FERRAZ SCHOENACKER
SP;3550605;SAO ROQUE;01629;F12405;EMEF TETSU CHINONE
SP;3550605;SAO ROQUE;01630;F12173;EMEF PROFESSOR TIBERIO JUSTO DA SILVA
SP;3551009;SAO VICENTE;01700;F10044;EE MARTIM AFONSO
SP;3551009;SAO VICENTE;01701;F11161;EE PROFESSORA YOLANDA CONTE
SP;3551009;SAO VICENTE;01702;F10986;EE PROFESSOR ENIO VILAS BOAS
SP;3551702;SERTAOZINHO;01590;F12112;EE WINSTON CHURCHILL
SP;3551702;SERTAOZINHO;01591;F10101;EE PROFESSORA EDITH SILVEIRA DALMASO
SP;3551702;SERTAOZINHO;01592;F09692;EE PROFa MARIA C.R.S.MAGON
SP;3552205;SOROCABA;01631;F14191;FATEC  JOSÉ CRESPO GONZALES
SP;3552205;SOROCABA;01632;F13143;EE  ANTONIO VIEIRA CAMPOS
SP;3552205;SOROCABA;01633;F09700;EE PROF  JOAQUIM IZIDORO MARINS
SP;3552205;SOROCABA;01634;F09665;EE JULIO BIERREMBACH LIMA
SP;3552403;SUMARE;01546;F09325;EE DOM JAYME DE BARROS CÂMARA
SP;3552403;SUMARE;01547;F09344;EE ANTONIO DO VALLE SOBRINHO
SP;3552502;SUZANO;01713;F13786;ETEC - ESCOLA TÉCNICA (ESCOLA PÚBLICA ESTADUAL)
SP;3552502;SUZANO;01714;F13299;EE LUIZ BIANCONI
SP;3552502;SUZANO;01715;F12996;EE ANTONIO RODRIGUES DE ALMEIDA
SP;3552809;TABOAO DA SERRA;01664;F09029;EE JOSÉ ROBERTO PACHECO
SP;3552809;TABOAO DA SERRA;01665;F09322;EE PROFESSORA JULIETA CALDAS FERRAZ
SP;3552809;TABOAO DA SERRA;01666;F08960;EE MARIA CATHARINA COMINO
SP;3552809;TABOAO DA SERRA;01667;F09057;EE DEPUTADO HEITOR CAVALCANTI ALENCAR FURTADO
SP;3552809;TABOAO DA SERRA;01668;F08939;EE REVERENDO ALMIR PEREIRA BAHIA
SP;3554003;TATUI;01623;F11265;ETEC SALES GOMES
SP;3554003;TATUI;01624;F12079;FATEC PROF WILSON ROBERTO RIBEIRO DE CAMARGO
SP;3554102;TAUBATE;01610;F08576;EE PROFESSOR BERNARDINO QUERIDO
SP;3554102;TAUBATE;01611;F08574;EE AMADOR BUENO DA VEIGA
SP;3554102;TAUBATE;01612;F08590;EE NEWTON CÂMARA LEAL BARROS
SP;3554102;TAUBATE;01613;F08579;EE MONTEIRO LOBATO
SP;3555000;TUPA;01522;F08410;EE ÍNDIA VANUÍRE
SP;3556206;VALINHOS;01548;F15372;EMEB PADRE  LEOPOLDO PETRUS VAN LIEMPT
SP;3556206;VALINHOS;01549;F13654;EMEB VICE PREFEITO ANTONIO MAMONI
SP;3556503;VARZEA PAULISTA;01556;F15425;EE PROF NATHANAEL SILVA
SP;3557006;VOTORANTIM;01635;F09431;EE PROF DANIEL VERANO
SP;3557105;VOTUPORANGA;01618;F12135;EE PROF UZENIR COELHO ZEITUNE
SP;3557105;VOTUPORANGA;01619;F12163;EE SEBASTIAO ALMEIDA OLIVEIRA
TO;1702109;ARAGUAINA;00737;F15134;ESCOLA ESTADUAL DE TEMPO INTEGRAL DOMINGOS DA CRUZ MACHADO
TO;1702109;ARAGUAINA;00738;F06877;CENTRO DE ENSINO MÉDIO CASTELO BRANCO
TO;1702109;ARAGUAINA;00739;F06881;EEGTI - DEP. FED. JOSÉ ALVES DE ASSIS
TO;1702208;ARAGUATINS;00736;F14821;ESCOLA ESTADUAL DE TEMPO INTEGRAL PROFESSORA ONEIDE DA CRUZ MOUSINHO
TO;1702406;ARRAIAS;00743;F07172;ESCOLA ESTADUAL BRIGADEIRO FELIPE
TO;1705508;COLINAS DO TOCANTINS;00740;F15410;CENTRO DE ENSINO MEDIO PRESIDENTE CASTELO BRANCO
TO;1707009;DIANOPOLIS;00744;F07780;CENTRO DE ENSINO MÉDIO ANTÔNIO PÓVOA
TO;1709302;GUARAI;00747;F07755;COLEGIO ESTADUAL RAIMUNDO ALENCAR LEAO - CERAL
TO;1709302;GUARAI;00748;F07986;COLÉGIO ESTADUAL ANTÔNIO ALENCAR LEAO
TO;1709500;GURUPI;00745;F06764;CENTRO DE ENSINO MÉDIO BOM JESUS
TO;1709500;GURUPI;00746;F07031;CENTRO DE ENSINO MÉDIO ARY RIBEIRO VALADAO FILHO
TO;1713205;MIRACEMA DO TOCANTINS;00749;F07129;ESCOLA ESTADUAL JOSÉ DAMASCENO VASCONCELOS
TO;1713205;MIRACEMA DO TOCANTINS;00750;F15397;ESCOLA ESTADUAL OSCAR SARDINHA
TO;1716109;PARAISO DO TOCANTINS;00755;F07102;CENTRO DE ENSINO MÉDIO JOSÉ ALVES DE ASSIS
TO;1716109;PARAISO DO TOCANTINS;00756;F07135;COLÉGIO MILITAR DO ESTADO DO TOCANTINS DIACONÍZIO BEZERRA DA SILVA
TO;1716109;PARAISO DO TOCANTINS;00757;F15102;ESCOLA ESTADUAL JUSCELINO KUBITSCHEK DE OLIVEIRA
