SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
DF;5300108;BRASILIA;;P1096;PPL - PENITENCIARIA FEMININA DO DISTRITO FEDERAL  PFDF
SC;4202404;BLUMENAU;;P11;PPL - CASEP BLUMENAU  CENTRO DE ATENDIMENTO SOCIOEDUCATIVO PROVISORIO DE BLUMENAU
AC;1200500;SENA MADUREIRA;;P1101;PPL - UNIDADE PENITENCIARIA EVARISTO DE MORAES
PE;2611606;RECIFE;;P1102;PPL - CASEM  AREIAS
RS;4314902;PORTO ALEGRE;;P1103;PPL - COMUNIDADE SOCIO EDUCATIVA
RS;4305108;CAXIAS DO SUL;;P1104;PPL - CASE REGIONAL CAXIAS DO SUL
RS;4322400;URUGUAIANA;;P1105;PPL - CASE REGIONAL URUGUAIANA
RS;4314902;PORTO ALEGRE;;P1106;PPL - CENTRO DE INTERNACAO PROVISORIA CARLOS SANTOS
SC;4209300;LAGES;;P1107;PPL - CASE LAGES  CENTRO DE ATENDIMENTO SOCIOEDUCATIVO REGIONAL LAGES
AM;1303403;PARINTINS;;P111;PPL - UNIDADE PRISIONAL DE PARINTINS
MS;5003488;DOIS IRMAOS DO BURITI;;P1113;PPL - PENITENCIARIA DE DOIS IRMAOS DO BURITI
MS;5006309;PARANAIBA;;P1114;PPL - ESTABELECIMENTO PENAL DE PARANAIBA
MS;5007695;SAO GABRIEL DO OESTE;;P1115;PPL - ESTABELECIMENTO PENAL FEMININO DE SAO GABRIEL DO OESTE
MS;5002704;CAMPO GRANDE;;P1117;PPL - CENTRO DE TRIAGEM ANIZIO LIMA
MS;5001102;AQUIDAUANA;;P1118;PPL - ESTABELECIMENTO PENAL DE AQUIDAUANA
AM;1304062;TABATINGA;;P112;PPL - UNIDADE PRISIONAL DE TABATINGA  SN
MS;5001102;AQUIDAUANA;;P1121;PPL - ESTABELECIMENTO PENAL DE REGIME SEMIABERTO E AA DE AQUIDAUANA
