SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
MG;3139607;MANTENA;51274;;ESCOLA MUNICIPAL ANTÔNIO CARLOS
RS;4314803;PORTAO;51178;;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SANTO ANTÔNIO
MG;3127305;GALILEIA;51228;;EE LEVINDO VALADARES DA FONSECA
MG;3106309;BELO ORIENTE;51300;;E.E. JOÃO HEMÉTRIO DE MENEZES
RS;4318200;SAO FRANCISCO DE PAULA;51164;;POLO UAB DE SÃO FRANCISCO DE PAULA
MG;3120904;CURVELO;51281;;ESCOLA ESTADUAL BOLIVAR DE FREITAS
MG;3126109;FORMIGA;51284;;ESCOLA ESTADUAL JALCIRA SANTOS VALADÃO
MG;3130408;IJACI;51231;;ESCOLA MUNICIPAL MARIA LUIZA DA PAIXÃO
MG;3137106;LAGAMAR;51239;;ESCOLA ESTADUAL AMERICO ALVES
MG;3146750;PALMOPOLIS;51248;;ESCOLA ESTADUAL GOVERNADOR CLOVIS SALGADO
TO;1701903;ARAGUACEMA;50607;;COLÉGIO ESTADUAL DE ARAGUACEMA
CE;2306900;JAGUARIBE;50556;;EEF ALICE DIÓGENES PINHEIRO
CE;2312908;SOBRAL;50588;;CENTRO UNIVERSITÁRIO INTA - UNINTA - MEDICINA
CE;2308500;MOMBACA;50568;;EEFM ANANIAS DO AMARAL VIEIRA
SP;3524303;JABOTICABAL;51800;;UNESP - FACULDADE DE CIÊNCIAS AGRÁRIAS E VETERINÁRIAS
SP;3527603;LUIS ANTONIO;51792;;EMEF ROBERTO BRAYN
MG;3101607;ALFENAS;51431;;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO UNIFENAS
MG;3139003;MACHADO;51434;;CENTRO SUPERIOR DE ENSINO E PESQUISA DE MACHADO
MG;3144102;MUZAMBINHO;51438;;INSTITUTO FEDERAL DE CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS CAMPUS MUZAMBINHO
SC;4205902;GASPAR;51461;;EEB ARNOLDO AGENOR ZIMMERMANN
SC;4217501;SEARA;51473;;EEB RAIMUNDO CORREA
MG;3132107;ITACARAMBI;51423;;ESCOLA ESTADUAL PROFESSOR JOSEFINO BARBOSA
MG;3102803;ANDRELANDIA;51430;;ESCOLA MUNICIPAL JOSÉ BERNARDINO ALVES
MG;3113701;CARLOS CHAGAS;51402;;ESCOLA ESTADUAL PROFESSORA ANTÔNIA BERNARDO RODRIGUES
MG;3139300;MANGA;51413;;ESCOLA ESTADUAL PRESIDENTE TANCREDO DE ALMEIDA NEVES
SP;3552106;SOCORRO;51704;;EE NARCISO PIERONI
RJ;3301108;CANTAGALO;51606;;POLO INTEGRADO CANTAGALO CECIERJ
RJ;3303955;PINHEIRAL;51610;;INSTITUTO FEDERAL DO RIO DE JANEIRO - CAMPUS PINHEIRAL
RJ;3304144;QUEIMADOS;51615;;UNIVERSIDADE ESTÁCIO DE SÁ
RJ;3304706;SANTO ANTONIO DE PADUA;51623;;CIEP BRIZOLÃO 469 ESCOLA MUNICIPAL PROFESSORA ANAÍDE PANARO CALDAS
RJ;3303203;NILOPOLIS;51592;;CE AYDANO DE ALMEIDA
RJ;3304607;SANTA MARIA MADALENA;51620;;CIEP 273 GRACIANO CARIELLO FILHO
RJ;3304508;RIO DAS FLORES;51617;;ESCOLA MUNICIPAL SANTA TEREZA
RJ;3304557;RIO DE JANEIRO;51578;;UNIVERSIDADE ESTÁCIO DE SÁ - CAMPUS PRESIDENTE VARGAS
RJ;3304557;RIO DE JANEIRO;51580;;ESCOLA MUNICIPAL REVERENDO MARTIN LUTHER KING
SC;4205704;GAROPABA;51544;;EEB PROF. JOSÉ RODRIGUES LOPES
SC;4202909;BRUSQUE;51492;;UNIFEBE - CENTRO UNIVERSITÁRIO DE BRUSQUE
RJ;3300308;BARRA DO PIRAI;51560;;COLÉGIO ESTADUAL BARÃO DO RIO BONITO
SC;4218004;TIJUCAS;51547;;UNIVALI
SC;4219002;URUSSANGA;51554;;ESCOLA DE EDUCACAÇÃO BÁSICA BARÃO DO RIO BRANCO
SC;4212205;PAPANDUVA;51522;;EEB MANOEL ESTEVÃO FURTADO
SP;3527207;LORENA;51835;;UNISAL
SP;3520442;ILHA SOLTEIRA;51845;;UNESP - FACULDADE DE ENGENHARIA CAMPUS II
SP;3513405;CRUZEIRO;51833;;FACIC FACULDADE DE CIÊNCIAS HUMANAS DO ESTADO DE SÃO PAULO
MG;3104007;ARAXA;51350;;CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ UNIARAXÁ CONJUNTO
MG;3138203;LAVRAS;51362;;UNIVERSIDADE FEDERAL DE LAVRAS
MG;3154606;RIBEIRAO DAS NEVES;51330;;ESCOLA MUNICIPAL JOSÉ PEDRO PEREIRA
MG;3101508;ALEM PARAIBA;51353;;ESCOLA MUNICIPAL SALLES MARQUES
MG;3137601;LAGOA SANTA;51333;;ESCOLA ESTADUAL NILO MAURICIO TRINDADE FIGUEIREDO
MG;3108552;BRASILANDIA DE MINAS;51340;;ESCOLA ESTADUAL CYRO GÓES
MG;3141108;MATOZINHOS;51334;;ESCOLA ESTADUAL BENTO GONÇALVES
SP;3530607;MOGI DAS CRUZES;51918;;UNIVERSIDADE DE MOGI DAS CRUZES - UMC
SP;3539806;POA;51919;;ESCOLA ESTADUAL PADRE SIMON SWITZAR
SP;3516309;FRANCISCO MORATO;51873;;EE PROFESSOR BUENO DE AZEVEDO FILHO
SP;3522505;ITAPEVI;51875;;CEMEB BEMVINDO MOREIRA NERY
SP;3550308;SAO PAULO;51867;;FACULDADES METROPOLITANAS UNIDAS (FMU) -  PRÉDIO 16
SP;3509205;CAJAMAR;51870;;E. E. TENENTE JOAQUIM MARQUES DA SILVA SOBRINHO
SP;3520301;IGUAPE;51882;;E.E. PROFESSOR VEIGA JÚNIOR
PI;2203503;ELESBAO VELOSO;50198;;UNIDADE ESCOLAR JOANA NONATA DA SILVA
PI;2203701;ESPERANTINA;50199;;CETI JOSÉ NOGUEIRA DE AGUIAR
PA;1503093;GOIANESIA DO PARA;50075;;E.M.E.F. EJA  GOV. ALACID NUNES
PA;1503903;JURUTI;50095;;EEEFM DEPUTADO AMÉRICO PEREIRA LIMA
