SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
ES;3200201;ALEGRE;20214;F00919;REAPLICACAO - CEEFMTI ARISTEU AGUIAR
ES;3201209;CACHOEIRO DE ITAPEMIRIM;20215;F00963;REAPLICACAO - FDCI - FACULDADE DE DIREITO DE CACHOEIRO DE ITAPEMIRIM
CE;2302206;BEBERIBE;70141;G10310;REAPLICACAO - EM DESEMBARGADOR PEDRO DE QUEIROZ - PREDIO: PRINCIPAL
CE;2305605;INDEPENDENCIA;70143;G21455;REAPLICACAO - EEEP MARIA ALTAIR AMERICO SABOIA - PREDIO: PRINCIPAL
CE;2305001;GUARACIABA DO NORTE;70145;G15135;REAPLICACAO - EEEP DEPUTADO JOSE MARIA MELO - PREDIO: PRINCIPAL
BA;2914802;ITABUNA;20163;F05321;REAPLICACAO - INSTITUTO MUNICIPAL DE EDUCACAO AZIZ MARON
BA;2932408;UIBAI;20169;F00129;REAPLICACAO - COLEGIO ESTADUAL MANOEL LEVI
BA;2917607;JAGUAQUARA;20172;F00722;REAPLICACAO - COLEGIO LUZIA SILVA
ES;3203908;NOVA VENECIA;20219;F00247;REAPLICACAO - MULTIVIX NOVA VENECIA
ES;3205309;VITORIA;20233;F00658;REAPLICACAO - FACULDADE MULTIVIX VITORIA
PA;1500602;ALTAMIRA;20001;F00969;REAPLICACAO - EEEM PROFESSORA DAIRCE PEDROSA TORRES
PA;1501709;BRAGANCA;20006;F04286;REAPLICACAO - UFPA CAMPUS UNIVERSITARIO DE BRAGANCA
PA;1504422;MARITUBA;20014;F01526;REAPLICACAO - EEEM FERNANDO FERRARI
CE;2306405;ITAPIPOCA;70148;G10891;REAPLICACAO - CE MARIA MAGALHAES VIANA AZEVEDO - PREDIO: PRINCIPAL
CE;2306009;IRACEMA;70150;G18893;REAPLICACAO - EEMTI DEP JOAQUIM DE FIGUEIREDO CORREIA - PREDIO: PRINCIPAL
CE;2312304;SAO BENEDITO;70152;G17601;REAPLICACAO - EEEP ISAIAS GONCALVES DAMASCENO - PREDIO: PRINCIPAL
BA;2932903;VALENCA;20197;F00256;REAPLICACAO - COLEGIO ESTADUAL GENTIL PARAISO MARTINS
PE;2610707;PAULISTA;70377;G1785;REAPLICACAO - EREM DANTAS BARRETO - PREDIO: PRINCIPAL
AP;1600303;MACAPA;70001;G19;REAPLICACAO - EE CECILIA PINTO - PREDIO: 01
SP;3549805;SAO JOSE DO RIO PRETO;70521;G14452;REAPLICACAO - UNIRP - CENTRO UNIVERSITARIO DE RIO PRETO - PREDIO: BL 04
SP;3557105;VOTUPORANGA;70523;G32906;REAPLICACAO - IF EDUC CIENCIA E TECNOLOGIA DE SP - IFSP - PREDIO: E
GO;5212501;LUZIANIA;20238;F00090;REAPLICACAO - COLEGIO ESTADUAL PROFESSOR ANTONIO VALDIR RORIZ
GO;5212204;JUSSARA;20254;F01304;REAPLICACAO - ESCOLA MUNICIPAL IZAURA MARIA DA SILVA
PA;1508209;VIGIA;20027;F06702;REAPLICACAO - ESCOLA ESTADUAL DE ENSINO MEDIO BERTOLDO NUNES
PA;1503606;ITAITUBA;20031;F03330;REAPLICACAO - EEEM BENEDITO CORREA DE SOUZA
PA;1503044;FLORESTA DO ARAGUAIA;20035;F06525;REAPLICACAO - EEEM MONSENHOR AUGUSTO DIAS DE BRITO
